date,time,origin,destination,ridership
2026-01-12,08:00,Woodlands CIQ,JB Sentral,318
2026-01-12,09:00,Woodlands CIQ,JB Sentral,321
2026-01-12,10:00,JB Sentral,Woodlands CIQ,321
2026-01-12,11:00,JB Sentral,Woodlands CIQ,266
2026-01-12,11:00,Woodlands CIQ,JB Sentral,322
2026-01-12,12:00,JB Sentral,Woodlands CIQ,325
2026-01-12,12:00,Woodlands CIQ,JB Sentral,312
2026-01-12,13:00,Woodlands CIQ,JB Sentral,228
2026-01-12,15:00,JB Sentral,Woodlands CIQ,325
2026-01-12,16:00,JB Sentral,Woodlands CIQ,324
2026-01-12,16:00,Woodlands CIQ,JB Sentral,91
2026-01-12,17:00,JB Sentral,Woodlands CIQ,321
2026-01-12,17:00,Woodlands CIQ,JB Sentral,164
2026-01-12,18:00,Woodlands CIQ,JB Sentral,320
2026-01-12,19:00,JB Sentral,Woodlands CIQ,317
2026-01-12,20:00,JB Sentral,Woodlands CIQ,318
2026-01-12,20:00,Woodlands CIQ,JB Sentral,318
2026-01-12,21:00,JB Sentral,Woodlands CIQ,316
2026-01-12,21:00,Woodlands CIQ,JB Sentral,201
2026-01-12,22:00,JB Sentral,Woodlands CIQ,320
2026-01-12,22:00,Woodlands CIQ,JB Sentral,123
2026-01-12,23:00,Woodlands CIQ,JB Sentral,30
2026-01-13,05:00,JB Sentral,Woodlands CIQ,640
2026-01-13,06:00,JB Sentral,Woodlands CIQ,638
2026-01-13,07:00,JB Sentral,Woodlands CIQ,638
2026-01-13,08:00,JB Sentral,Woodlands CIQ,320
2026-01-13,08:00,Woodlands CIQ,JB Sentral,314
2026-01-13,09:00,Woodlands CIQ,JB Sentral,320
2026-01-13,10:00,JB Sentral,Woodlands CIQ,324
2026-01-13,11:00,JB Sentral,Woodlands CIQ,214
2026-01-13,11:00,Woodlands CIQ,JB Sentral,323
2026-01-13,12:00,JB Sentral,Woodlands CIQ,199
2026-01-13,12:00,Woodlands CIQ,JB Sentral,303
2026-01-13,13:00,Woodlands CIQ,JB Sentral,141
2026-01-13,14:00,JB Sentral,Woodlands CIQ,240
2026-01-13,15:00,JB Sentral,Woodlands CIQ,302
2026-01-13,15:00,Woodlands CIQ,JB Sentral,103
2026-01-13,16:00,JB Sentral,Woodlands CIQ,323
2026-01-13,16:00,Woodlands CIQ,JB Sentral,69
2026-01-13,17:00,JB Sentral,Woodlands CIQ,319
2026-01-13,17:00,Woodlands CIQ,JB Sentral,154
2026-01-13,18:00,Woodlands CIQ,JB Sentral,317
2026-01-13,19:00,JB Sentral,Woodlands CIQ,319
2026-01-13,20:00,JB Sentral,Woodlands CIQ,313
2026-01-13,20:00,Woodlands CIQ,JB Sentral,317
2026-01-13,21:00,JB Sentral,Woodlands CIQ,315
2026-01-13,21:00,Woodlands CIQ,JB Sentral,249
2026-01-13,22:00,JB Sentral,Woodlands CIQ,207
2026-01-13,22:00,Woodlands CIQ,JB Sentral,126
2026-01-13,23:00,Woodlands CIQ,JB Sentral,45
